date,ym,window,spy_gap_pct,spy_atr14,spy_atr14_pct,spy_range_ratio,spy_adx14,spy_ema9_gt_ema20,qqq_ema9_gt_ema20,market_regime,breadth_pct,orb_range_avg_atr,orb_n_valid,n_signals,total_r,n_wins,wr_pct
2025-09-17,2025-09,IS,0.0,6.37,0.966,1.0,0.0,0,0,BEAR,,,0,0,0,0,
2025-09-18,2025-09,IS,0.402,6.3193,0.954,1.0,100.0,1,1,BULL,100.0,2.015,9,0,0,0,
2025-09-19,2025-09,IS,0.008,6.1665,0.929,1.0,100.0,1,1,BULL,66.7,2.266,9,0,0,0,
2025-09-22,2025-09,IS,-0.217,6.0917,0.914,1.0,100.0,1,1,BULL,55.6,2.416,9,0,0,0,
2025-09-23,2025-09,IS,-0.006,6.0395,0.911,1.0,99.95,1,1,BULL,0.0,3.466,9,0,0,0,
2025-09-24,2025-09,IS,0.191,5.9609,0.902,1.0,99.22,1,1,BULL,33.3,3.063,9,0,0,0,
2025-09-25,2025-09,IS,-0.47,6.0094,0.913,1.0,97.14,1,1,BULL,11.1,2.862,9,0,0,0,
2025-09-26,2025-09,IS,0.239,5.9016,0.892,1.0,95.33,1,1,BULL,22.2,2.425,9,0,0,0,
2025-09-29,2025-09,IS,0.394,5.7322,0.864,1.0,93.77,1,1,BULL,100.0,3.212,9,0,0,0,
2025-09-30,2025-09,IS,-0.104,5.6828,0.853,1.0,92.38,1,1,BULL,33.3,3.509,9,2,0.8,1,50.0
2025-10-01,2025-10,IS,-0.438,5.7276,0.857,1.0,91.19,1,1,BULL,55.6,3.391,9,1,1.8,1,100.0
2025-10-02,2025-10,IS,0.287,5.5892,0.835,1.0,90.14,1,1,BULL,66.7,3.27,9,0,0,0,
2025-10-03,2025-10,IS,0.127,5.5128,0.824,1.0,89.24,1,1,BULL,66.7,3.134,9,0,0,0,
2025-10-06,2025-10,IS,0.363,5.3555,0.797,1.0,88.41,1,1,BULL,44.4,3.326,9,0,0,0,
2025-10-07,2025-10,IS,0.14,5.3536,0.8,1.0,87.06,1,1,BULL,66.7,2.934,9,0,0,0,
2025-10-08,2025-10,IS,0.166,5.262,0.782,1.0,85.82,1,1,BULL,88.9,2.966,9,1,1.8,1,100.0
2025-10-09,2025-10,IS,0.073,5.2218,0.778,1.0,84.71,1,1,BULL,66.7,3.707,9,0,0,0,
