parameter,value,is_baseline,signals,wins,losses,breakeven,wr_pct,pf,total_r,max_dd_r,avg_r,trades_per_day,top_rejection
adx_min,15,no,211,91,120,0,43.1,1.343,40.3,12.0,0.191,1.353,rvol
adx_min,20,no,186,80,106,0,43.0,1.35,36.23,10.26,0.195,1.192,rvol
adx_min,25,no,138,63,75,0,45.7,1.483,35.56,8.4,0.258,0.885,rvol
adx_min,28,no,111,51,60,0,45.9,1.522,30.58,7.0,0.275,0.712,adx
adx_min,30,YES,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
adx_min,32,no,86,43,43,0,50.0,1.797,33.18,6.8,0.386,0.551,adx
adx_min,35,no,67,36,31,0,53.7,2.1,32.58,6.4,0.486,0.429,adx
adx_min,40,no,51,26,25,0,51.0,1.796,19.59,4.0,0.384,0.327,adx
rvol_min,0.8,no,161,73,88,0,45.3,1.466,40.03,8.0,0.249,1.032,adx
rvol_min,1.0,no,148,70,78,0,47.3,1.585,44.51,6.2,0.301,0.949,adx
rvol_min,1.2,no,126,63,63,0,50.0,1.763,46.57,6.2,0.37,0.808,adx
rvol_min,1.4,no,109,56,53,0,51.4,1.924,47.16,5.2,0.433,0.699,adx
rvol_min,1.5,YES,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
rvol_min,1.7,no,83,43,40,0,51.8,1.946,36.52,4.2,0.44,0.532,adx
rvol_min,2.0,no,61,32,29,0,52.5,1.975,27.32,3.72,0.448,0.391,adx
orb_range_min,0.8,no,109,56,53,0,51.4,1.902,46.58,6.0,0.427,0.699,adx
orb_range_min,1.0,no,109,56,53,0,51.4,1.902,46.58,6.0,0.427,0.699,adx
orb_range_min,1.2,no,108,55,53,0,50.9,1.868,44.78,7.8,0.415,0.692,adx
orb_range_min,1.5,no,108,55,53,0,50.9,1.868,44.78,7.8,0.415,0.692,adx
orb_range_min,1.8,no,103,51,52,0,49.5,1.762,38.58,7.8,0.375,0.66,adx
orb_range_min,2.0,YES,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
orb_range_min,2.3,no,88,45,43,0,51.1,1.84,35.79,4.8,0.407,0.564,adx
orb_range_min,2.6,no,74,37,37,0,50.0,1.81,29.65,5.0,0.401,0.474,adx
ema20_dist_min,0.8,no,113,54,59,0,47.8,1.642,36.98,8.0,0.327,0.724,adx
ema20_dist_min,1.0,no,111,53,58,0,47.7,1.639,36.18,8.0,0.326,0.712,adx
ema20_dist_min,1.2,no,107,52,55,0,48.6,1.697,37.38,7.0,0.349,0.686,adx
ema20_dist_min,1.5,no,105,52,53,0,49.5,1.763,39.38,6.2,0.375,0.673,adx
ema20_dist_min,1.75,no,102,50,52,0,49.0,1.727,36.78,6.2,0.361,0.654,adx
ema20_dist_min,1.95,YES,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
ema20_dist_min,2.2,no,96,46,50,0,47.9,1.65,31.58,7.8,0.329,0.615,adx
ema20_dist_min,2.5,no,88,44,44,0,50.0,1.797,33.98,5.2,0.386,0.564,adx
break_dist_min,0.01,no,101,49,52,0,48.5,1.691,34.98,7.8,0.346,0.647,adx
break_dist_min,0.03,no,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
break_dist_min,0.05,YES,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
break_dist_min,0.08,no,99,48,51,0,48.5,1.689,34.18,7.8,0.345,0.635,adx
break_dist_min,0.1,no,98,46,52,0,46.9,1.584,29.58,7.8,0.302,0.628,adx
break_dist_min,0.15,no,94,45,49,0,47.9,1.646,30.78,7.8,0.327,0.603,adx
body_atr,0.1,no,104,49,55,0,47.1,1.596,31.98,7.8,0.307,0.667,adx
body_atr,0.15,no,101,49,52,0,48.5,1.691,34.98,7.8,0.346,0.647,adx
body_atr,0.2,no,101,49,52,0,48.5,1.691,34.98,7.8,0.346,0.647,adx
body_atr,0.25,YES,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
body_atr,0.3,no,100,48,52,0,48.0,1.674,34.12,7.8,0.341,0.641,adx
body_atr,0.4,no,96,44,52,0,45.8,1.545,27.36,7.8,0.285,0.615,adx
sess_brk_end_et,10:30ET,no,64,34,30,0,53.1,1.965,28.94,4.6,0.452,0.41,adx
sess_brk_end_et,11:00ET,no,90,42,48,0,46.7,1.573,26.72,7.8,0.297,0.577,adx
sess_brk_end_et,11:30ET,YES,100,49,51,0,49.0,1.725,35.98,7.8,0.36,0.641,adx
sess_brk_end_et,12:00ET,no,110,54,56,0,49.1,1.732,39.98,7.6,0.363,0.705,adx
sess_brk_end_et,12:30ET,no,116,57,59,0,49.1,1.716,41.26,7.6,0.356,0.744,adx
