label,level,n,wr,pf,tr,dd,tr_202509,tr_202510,tr_202511,tr_202512,tr_202601,tr_202602,tr_202603,tr_202604,n_202509,n_202510,n_202511,n_202512,n_202601,n_202602,n_202603,n_202604,win_months,worst_month,conc,max_consec,class,oos_candidate
BASELINE,BASELINE,100,49.0,1.73,35.98,11.60,0.80,6.28,1.80,-3.00,7.80,13.79,-0.20,8.72,2,12,15,9,23,18,3,18,6,-3.00,38.3,1,BASELINE,NO
H-01+H-02+H-05,TRIPLE,110,55.5,2.28,60.16,10.37,2.60,8.08,4.60,-2.77,8.15,15.59,8.80,15.12,3,13,15,9,23,19,8,20,7,-2.77,25.9,1,ROBUST,NO
H-02+H-05+H-06,TRIPLE,108,55.6,2.24,57.87,10.60,4.40,12.57,2.80,-3.00,7.00,15.59,6.20,12.32,4,16,14,9,21,19,5,20,7,-3.00,26.9,1,CONDITIONAL,NO
H-01+H-05+H-06,TRIPLE,107,55.1,2.23,56.66,11.37,2.60,9.97,4.60,-3.77,8.15,15.59,4.40,15.12,3,13,15,10,23,19,4,20,7,-3.77,27.5,1,CONDITIONAL,NO
H-02+H-06+H-08,TRIPLE,99,56.6,2.34,55.67,9.60,4.40,10.77,4.80,-3.00,7.20,15.79,5.20,10.52,4,15,12,9,18,16,6,19,7,-3.00,28.4,1,CONDITIONAL,NO
H-01+H-02+H-08,TRIPLE,101,55.4,2.28,55.16,9.37,2.60,6.28,6.60,-2.77,8.35,12.99,7.80,13.32,3,12,13,9,20,16,9,19,7,-2.77,24.1,1,ROBUST,YES
H-01+H-04+H-05,TRIPLE,110,53.6,2.11,54.56,10.37,-0.20,9.08,3.60,-2.77,8.95,13.59,6.20,16.12,3,12,16,9,25,21,5,19,6,-2.77,29.5,1,ROBUST,NO
H-02+H-05+H-08,TRIPLE,82,58.5,2.57,51.18,6.60,2.60,7.28,5.80,-1.00,6.40,12.19,6.20,11.72,3,11,11,7,16,14,5,15,7,-1.00,23.8,1,ROBUST,YES
H-01+H-06+H-08,TRIPLE,99,54.5,2.18,50.66,10.37,2.60,8.17,6.60,-3.77,8.35,12.99,3.40,12.32,3,12,13,10,20,16,5,20,7,-3.77,25.6,1,CONDITIONAL,NO
H-01+H-05,PAIR,100,54.0,2.15,50.56,10.37,0.80,7.28,4.60,-2.77,8.15,13.79,4.40,14.32,2,11,15,9,23,18,4,18,7,-2.77,28.3,1,ROBUST,NO
H-02+H-04+H-05,TRIPLE,111,52.3,1.97,50.18,10.60,1.60,8.88,1.80,-3.00,6.00,13.59,6.20,15.12,4,15,15,9,22,21,5,20,7,-3.00,30.1,1,CONDITIONAL,NO
H-02+H-05,PAIR,100,54.0,2.12,49.98,9.60,2.60,8.08,2.80,-2.00,7.00,13.79,6.20,11.52,3,13,14,8,21,18,5,18,7,-2.00,27.6,1,ROBUST,YES
H-04+H-05+H-06,TRIPLE,108,52.8,2.00,49.47,10.60,1.60,11.77,1.80,-3.00,6.00,13.59,2.60,15.12,4,14,15,9,22,21,3,20,7,-3.00,30.6,1,CONDITIONAL,NO
H-01+H-05+H-08,TRIPLE,83,56.6,2.41,47.96,7.37,0.80,6.48,7.60,-1.77,7.55,9.39,4.40,13.52,2,9,12,8,18,14,4,16,7,-1.77,28.2,1,ROBUST,YES
H-02+H-08,PAIR,91,54.9,2.21,47.78,8.60,2.60,6.28,4.80,-2.00,7.20,13.99,5.20,9.72,3,12,12,8,18,15,6,17,7,-2.00,29.3,1,ROBUST,YES
H-01+H-04+H-08,TRIPLE,101,52.5,2.02,46.76,9.37,-0.20,5.48,5.60,-2.77,9.15,10.99,5.20,13.32,3,10,14,9,22,18,6,19,6,-2.77,28.5,1,ROBUST,YES
H-02+H-04+H-08,TRIPLE,101,52.5,1.99,46.18,9.60,1.60,5.28,3.80,-3.00,6.20,13.79,5.20,13.32,4,13,13,9,19,18,6,19,7,-3.00,29.9,1,CONDITIONAL,NO
H-05+H-06+H-08,TRIPLE,81,56.8,2.36,45.67,7.60,2.60,9.17,5.80,-2.00,6.40,12.19,0.80,10.72,3,11,11,8,16,14,2,16,7,-2.00,26.7,1,ROBUST,YES
H-05+H-06,PAIR,98,53.1,2.02,45.47,10.60,2.60,9.97,2.80,-3.00,7.00,13.79,0.80,11.52,3,13,14,9,21,18,2,18,7,-3.00,30.3,1,CONDITIONAL,NO
H-01+H-08,PAIR,92,53.3,2.09,44.56,9.37,0.80,5.48,6.60,-2.77,8.35,11.19,3.40,11.52,2,10,13,9,20,15,5,18,7,-2.77,25.8,1,ROBUST,NO
H-04+H-06+H-08,TRIPLE,99,52.5,1.98,44.47,9.60,1.60,8.17,3.80,-3.00,6.20,13.79,1.60,12.32,4,12,13,9,19,18,4,20,7,-3.00,31.0,1,CONDITIONAL,NO
H-04+H-05,PAIR,101,51.5,1.91,43.38,9.60,-0.20,9.08,1.80,-2.00,6.00,11.79,2.60,14.32,3,12,15,8,22,20,3,18,6,-2.00,33.0,1,ROBUST,NO
H-06+H-08,PAIR,90,53.3,2.04,42.27,9.60,2.60,8.17,4.80,-3.00,7.20,13.99,-0.20,8.72,3,12,12,9,18,15,3,18,6,-3.00,33.1,1,CONDITIONAL,NO
H-04+H-05+H-08,TRIPLE,83,54.2,2.14,41.78,6.60,-0.20,6.48,4.80,-1.00,5.40,10.19,2.60,13.52,3,9,12,7,17,16,3,16,6,-1.00,32.3,1,ROBUST,NO
H-05+H-08,PAIR,74,55.4,2.25,39.58,6.60,0.80,6.48,5.80,-1.00,6.40,10.39,0.80,9.92,2,9,11,7,16,13,2,14,7,-1.00,26.2,1,ROBUST,NO
H-05,INDIVIDUAL,91,51.6,1.92,39.38,9.60,0.80,7.28,2.80,-2.00,7.00,11.99,0.80,10.72,2,11,14,8,21,17,2,16,7,-2.00,30.4,1,ROBUST,NO
H-04+H-08,PAIR,92,51.1,1.88,38.38,8.60,-0.20,5.48,3.80,-2.00,6.20,11.99,1.60,11.52,3,10,13,8,19,17,4,18,6,-2.00,31.2,1,ROBUST,NO
H-08,INDIVIDUAL,83,51.8,1.94,36.18,8.60,0.80,5.48,4.80,-2.00,7.20,12.19,-0.20,7.92,2,10,12,8,18,14,3,16,6,-2.00,33.7,1,ROBUST,NO
