rank,label,grade,n_syms,n,avg_per_day,avg_per_week,pf,tr,dd,wr,avg_r,div,corr,overlap,incr,syms_added,syms_removed,p7
0,BASELINE,BASELINE,9,100,0.641,3.21,1.73,35.98,11.60,49.0,0.360,0.989,0.066,41.7,+0.00,--,--,BASELINE
1,H-02+H-05+H-08,A+,7,82,0.526,2.63,2.57,51.18,6.60,58.5,0.624,0.989,0.010,34.5,+15.20,--,PANW-MSFT,PASS
2,H-01+H-05+H-08,A+,7,83,0.532,2.66,2.41,47.96,7.37,56.6,0.578,0.986,0.076,32.7,+11.98,--,PANW-MSFT,PASS
3,H-05+H-06+H-08,A,8,81,0.519,2.60,2.36,45.67,7.60,56.8,0.564,0.988,0.006,33.9,+9.70,AAPL,PANW-MSFT,PASS
4,H-02+H-06+H-08,A,9,99,0.635,3.17,2.34,55.67,9.60,56.6,0.562,0.991,0.035,35.4,+19.70,AAPL,MSFT,PASS
5,H-01+H-02+H-08,A,8,101,0.647,3.24,2.28,55.16,9.37,55.4,0.546,0.986,0.086,33.8,+19.18,--,MSFT,PASS
6,H-02+H-08,A,8,91,0.583,2.92,2.21,47.78,8.60,54.9,0.525,0.991,0.043,36.1,+11.80,--,MSFT,PASS
7,H-02+H-05,A,8,100,0.641,3.21,2.12,49.98,9.60,54.0,0.500,0.989,0.034,36.9,+14.00,--,PANW,PASS
8,H-01+H-08,A,8,92,0.590,2.95,2.09,44.56,9.37,53.3,0.484,0.988,0.093,34.5,+8.58,--,MSFT,PASS
9,H-01+H-04+H-08,A,8,101,0.647,3.24,2.02,46.76,9.37,52.5,0.463,0.993,0.095,35.5,+10.78,--,MSFT,PASS
10,H-01+H-02+H-05,B,8,110,0.705,3.53,2.28,60.16,10.37,55.5,0.547,0.988,0.082,36.8,+24.18,--,PANW,PASS
11,H-05+H-08,B,7,74,0.474,2.37,2.25,39.58,6.60,55.4,0.535,0.988,0.014,34.6,+3.60,--,PANW-MSFT,PASS
12,H-02+H-05+H-06,B,9,108,0.692,3.46,2.24,57.87,10.60,55.6,0.536,0.989,0.031,38.2,+21.90,AAPL,PANW,PASS
13,H-01+H-05+H-06,B,9,107,0.686,3.43,2.23,56.66,11.37,55.1,0.529,0.987,0.060,39.1,+20.68,AAPL,PANW,PASS
14,H-01+H-06+H-08,B,9,99,0.635,3.17,2.18,50.66,10.37,54.5,0.512,0.987,0.066,33.9,+14.68,AAPL,MSFT,PASS
15,H-01+H-05,B,8,100,0.641,3.21,2.15,50.56,10.37,54.0,0.506,0.988,0.085,40.0,+14.58,--,PANW,PASS
16,H-04+H-05+H-08,B,7,83,0.532,2.66,2.14,41.78,6.60,54.2,0.503,0.994,0.033,33.9,+5.80,--,PANW-MSFT,PASS
17,H-01+H-04+H-05,B,8,110,0.705,3.53,2.11,54.56,10.37,53.6,0.496,0.993,0.079,38.5,+18.58,--,PANW,PASS
18,H-06+H-08,B,9,90,0.577,2.88,2.04,42.27,9.60,53.3,0.470,0.991,0.030,35.6,+6.30,AAPL,MSFT,PASS
19,H-05+H-06,B,9,98,0.628,3.14,2.02,45.47,10.60,53.1,0.464,0.987,0.020,38.7,+9.50,AAPL,PANW,PASS
20,H-04+H-05+H-06,B,9,108,0.692,3.46,2.00,49.47,10.60,52.8,0.458,0.991,0.028,37.3,+13.50,AAPL,PANW,PASS
21,H-02+H-04+H-08,B,8,101,0.647,3.24,1.99,46.18,9.60,52.5,0.457,0.994,0.063,34.8,+10.20,--,MSFT,PASS
22,H-04+H-06+H-08,B,9,99,0.635,3.17,1.98,44.47,9.60,52.5,0.449,0.993,0.041,34.9,+8.50,AAPL,MSFT,PASS
23,H-02+H-04+H-05,B,8,111,0.712,3.56,1.97,50.18,10.60,52.3,0.452,0.994,0.049,35.2,+14.20,--,PANW,PASS
24,H-05,B,8,91,0.583,2.92,1.92,39.38,9.60,51.6,0.433,0.987,0.033,39.7,+3.40,--,PANW,PASS
25,H-04+H-05,B,8,101,0.647,3.24,1.91,43.38,9.60,51.5,0.429,0.992,0.044,38.1,+7.40,--,PANW,PASS
26,H-04+H-08,B,8,92,0.590,2.95,1.88,38.38,8.60,51.1,0.417,0.994,0.063,35.6,+2.40,--,MSFT,PASS
27,H-08,Reject,8,83,0.532,2.66,1.94,36.18,8.60,51.8,0.436,0.990,0.047,36.4,+0.20,--,MSFT,PASS
